Variable Group,Variable Name,Description,Values
Report Grading,writing_flaws,"If yes, report shows writing flaws","Logical, yes/no"
Report Grading,basic_errors,The count of basic errors present in each report,Integer
Report Grading,higher_errors,The count of higher errors present in each report,integer
Report Grading,comments_use,Whether the GTA comments were thought to be useful by the students receiving said comments.,"Factor:
""No""
""Somewhat""
""Yes"""
Report Grading,ta_id,Unique anonymous ID for each GTA grading the paper,Character
Student Features,AnonymousID,Unique anonymous ID for each student producing the lab report,Character
Student Features,Level,Grade level of student at time of report.,"Factor:
""Freshman""
""Sophomore""
""Junior""
""Senior"""
Student Features,Major,Student's major at time of most recent data collection,Factor
Student Features,APBIO_result,Score on high school AP Bio test,"Factor:
""No"" (did not take AP BIO course)
""Yes - no exam"" (student did take an AP BIO course but did not sit an AP BIO exam)
""Below 4"" (scored below 4 on the AP BIO exam)
""4"" (scored a 4 on the AP BIO exam)
""5"" (scored a 5 on the AP BIO exam)"
Student Features,FirstSemester,The first semester we have record of the student taking a biology course,"Factor:
""2017_2_Fall""
""2018_1_Spring""
""2018_2_Fall""
""2019_1_Spring""
""2019_2_Fall"""
Student Features,FirstCourse ,The first biology course the student took,"Factor:
""BIO101L""
""BIO102L""
""BIO103L"""
Student Features,AvgQuizDuration ,Average duration in seconds taken from the beginning of an online quiz to quiz submission.,Numeric
Student Features,AvgQuizScore ,Average score across all quizzes student has taken,Numeric
BASX,NOTE: BASX,"Variables in the BASX group are from our BASX assessments. These test biology knowledge from our courses as well as student self-assessments of confidence in various biology-related tasks. We have BASX results from Fall 2017, Fall and Spring of 2018, and Spring 2019. Results from the Fall are from our introductory 101 and 103 courses, whereas those from the Spring are from our 102 course. Since these are all of the same format, we will give general identifiers for one semester. As this was not given to every student, high missingness is expected.",
BASX,BASXSemesterYear_RecordedDate ,Date of submission in POSIX format,POSIX
BASX,BASXSemesterYear_Current_Bio ,The biology course the student was enrolled in when taking the assessment.,"Factor:
""BIO103L""
""BIO102L""
""BIO103L"""
BASX,BASXSemesterYear_Smstr ,"The total number of university semesters the student has enrolled in. Freshmen in their Fall semester will respond 1, while Juniors in their Spring semester would respond 7, for example.",Integer
BASX,BASXSemesterYear_PriorCollegeBIO ,"whether a student has had no previous college biology courses, college biology courses at Wake Forest University, or college biology courses at another university.","Factor:
""No"" (no previous biology courses)
""Another college or university"" (Undergraduate level biology course was taken at in institution other than WFU)
""WFU"" (A previous biology course was taken at WFU)"
BASX,BASXSemesterYear_AP_BIO ,"Similar to our student AP_BIO (indeed, this is where we took the information for that variable)","Factor:
""No"" (did not take AP BIO course)
""Yes - no exam"" (student did take an AP BIO course but did not sit an AP BIO exam)
""Below 4"" (scored below 4 on the AP BIO exam)
""4"" (scored a 4 on the AP BIO exam)
""5"" (scored a 5 on the AP BIO exam)"
BASX,NOTE: BSES questions,"The BSES questions allow students to self-assess their ability to do each of the tasks laid out on the BSES assessment. This is given as a numeric response from 1 to 5, with 5 being “Totally confident” and 1 being “Not at all confident.” Each BSES description in this codebook will print the question in full. ","Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_SumMainPoints ,"After reading an article about a biology experiment, you could write a summary of its main points","Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_CritReport ,You could critique a lab report written by another student,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_Write_Intro ,You could write an introduction to a lab report,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_Explain_Article,"After reading an article about a biology experiment, you could explain its main ideas to another person","Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_ReplicateExp ,You could read the procedures for an experiment and feel sure about repeating the experiment on your own,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_WriteMethods ,"You could write the methods section of a lab report (i.e., describe the experimental procedures)","Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_SumTVDoc ,"After watching a TV documentary dealing with some topic in biology,  you could WRITE A SUMMARY of its main points","Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_WriteResults,You could write up the results to a lab report,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_ExplainTVDoc ,"After watching a TV documentary dealing with some topic in biology, you could EXPLAIN its main ideas to another person","Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_WriteConc ,You could write the conclusion to a lab report,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_AnalyzeData ,"You could analyze a set of data (i.e., look at the relationships between variables)","Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_TutorStudentReport ,You could tutor another student on how to write a lab report,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_IDStrWkTxt ,You could identify and list the strengths and weaknesses in an experiment described in a biology textbook,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_TutorBio ,You could tutor another student for this biology course,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_ExpQuestion ,You could ask a meaningful question that could be answered experimentally,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_ExplainBio ,You could explain something that you learned in this biology course to another person,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_SciAtHome ,You could use a scientific approach to solve a problem at home,"Integer:
""1"" (Not at all confident)
""2""
""3""
""4""
""5"" (Totally confident)"
BASX,BASXSemesterYear_BSES_BSES_AVG ,"An average of all BSES scores, generated after the student's responses.",Numeric
BASX,BASXSemesterYear _EDAT ,"A free response question response answering the follow question: “Advertisements for an herbal supplement containing ginseng claim that it promotes endurance. To determine whether the claim is fraudulent or can be accepted, what type of evidence would you like to see?  Describe the details of an investigative design to test that claim.” Tests understanding of scientific evidence and experimental design.",Character
BASX,BASXSemesterYear _VNOS2 ,"Response to the following question : ”Does development and expansion of scientific knowledge require experiments? Explain your reasoning, and give an example to defend your position.” Assesses understanding of progress of scientific knowledge.",Character
Evaluations,NOTE: Evaluations,"The evaluations group covers course evaluation responses listed by semester. These are given at the end of each semester for each course. It’s a chance for students to give feedback to TA performance, the effectiveness of various assignments, and whether the SAWHET report feedback system was effective. Again, because these evaluations are fairly consistent in form, examples will be given for one in a general form",
Evaluations,SemesterYearEvals_Duration ,"Time, in seconds, for the student to complete the evaluation",Integer
Evaluations,SemesterYearEvals_RecordedDate ,Date in POSIX format of submission,POSIX
Evaluations,SemesterYearEvals_Level ,"Student class level (Freshman, Sophomore, Junior, Senior) at time of course evaluation","Factor:
""Freshman""
""Sophomore""
""Junior""
""Senior"""
Evaluations,SemesterYearEvals_PrevBIO100,"Which semester, if any, that the student took BIO 100",Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO111 ,"Which semester, if any, that the student took BIO 111",Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO103,"Which semester, if any, that the student took BIO 103L",Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO101 ,"Which semester, if any, that the student took BIO 101L",Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO220,"Which semester, if any, that the student took BIO 220",Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO102,"Which semester, if any, that the student took BIO 102L",Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO300,"Which semester, if any, that the student took BIO 300",Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO100,If the student is currently taking BIO 100,Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO111 ,If the student is currently taking BIO 111,Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO103,If the student is currently taking BIO 103L,Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO101 ,If the student is currently taking BIO 101L,Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO220,If the student is currently taking BIO 220,Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO102,If the student is currently taking BIO 102L,Fall '13 through Spring '19
Evaluations,SemesterYearEvals_PrevBIO300,If the student is currently taking BIO 300,Fall '13 through Spring '19
Evaluations,SemesterYearEvals_Major_SemesterYear,The major the student gave at the time of the evaluation. Our “Major” variable listed earlier takes the most recent response for each student.,Factor
Evaluations,FA17Evals_LabEffort ,Deprecated after FA17. Self-evaluation of how much effort students put into their labs compared to their partners. Answers question “Lab effort How would you rate the amount of effort you put into completing the exercises and experiments DURING lab?”,"Factor:
""I sometimes let others do more of the work, and did less myself.""
""I tried to do my share of the work.""
""I would do more than average, if the topic or experiment interested me."" 
""I always tried to do more than what was expected or required. """
Evaluations,FA17Evals_OutEfftHW ,"Deprecated after FA17. Estimated number of hours put into homework outside of lab meetings, including notebook work and other assignments",Numeric
Evaluations,FA17Evals_OutEfftRpt ,Deprecated after FA17. Estimated number of hours working on each lab report.,Numeric
Evaluations,FA17Evals_OutEfftOral ,Deprecated after FA17. Estimated number of hours working on each oral presentation for lab.,Numeric
Evaluations,FA17Evals_OutEfftPrep ,Deprecated after FA17. Estimated number of hours preparing for a typical lab quiz or pre-lab activity.,Numeric
Evaluations,SemesterYearEvals_PriorKnow ,Self-evaluation of prior biology knowledge before starting the course.,"Factor:
""Nothing at all""
""Very little""
""Some; about the same as most students""
""More than most other students""
""A lot more than most other students"""
Evaluations,SemesterYearEvals_Interest_Change ,Self-evaluation of change of interest in biology. ,"Factor:
""Much less""
""Somewhat less""
""About the same""
""Somewhat more""
""Much more"""
Evaluations,SemesterYearEvals_Interest_TA_list ,List of individual anonymized TA IDs for each student at time of evaluation.,Character
Evaluations: TA Assessment,NOTE: TA_Mastery to TA_Overall,"These responses gave students the ability to assess their GTAs’ performances. These are given as numeric responses from 1 to 10, where 1 is very poor performance and 10 is ideal performance.","Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Mastery ,The TA knows biological concepts and principles on which the lab is based,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Prep,"The TA has materials for the lab, is familiar with the procedures, and can conduct lab efficiently","Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Adapt ,The TA adapts well to unexpected problems and can solve problems on the fly.,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Stimulates ,The TA stimulates thinking about the topic and concepts of the unit. ,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Attn ,The TA is able to hold your interest and attention and uses examples an average student understands.,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_ClearExpect ,"The TA tells you what they expect and how to achieve it. If you do not meet expectations, they tell you how to improve. The TA communicates expectations in a timely manner.","Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Communication ,"The TA speaks clearly and can be understood. They do not mumble, ramble, talk excessively. They explain lab goals and activities clearly and logically. ","Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_LabMgmt ,The TA makes sure students follow safety and housekeeping policies. They make sure materials for lab are ready and available before lab starts.,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Prompt,The TA returns graded materials in a reasonable time and updates the online gradebook every 1-2 weeks.,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_OutsideHelp,"You were able to schedule appointments with the TA outside of class. When you met, the TA took time to explain things thoroughly and help you learn.","Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Enthus ,The TA shows general enthusiasm for biology and this course.,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Challenged ,The TA challenged you to do better. The TA pushed you to develop new skills and abilities and improve those you already had.,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Fair ,The TA gave all students clear guidelines on what was expected on assignments and graded everyone based on those guidelines. ,"Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Assessment,SemesterYearEvals_TA_Overall ,"Given all your experiences with this TA, how would you rate their teaching ability?","Integer, 1-10, where 1 is worst performance and 10 is best performance"
Evaluations: TA Resource Use,NOTE: TA Resource use,Spring 2019 added another assessment for the TAs – how often they used certain resources throughout the semester. This feature continued into FA 2019,"Factor
""Never""
""1-2 times""
""3-5 times""
""Every 2-3 weeks""
""Almost every week""
""Several times each week""
""No basis to judge"""
Evaluations: TA Resource Use,SemesterYearEvals_TA_Use_BRG ,"How often the TA used the Biology Resource guide, either the online or print version","Factor
""Never""
""1-2 times""
""3-5 times""
""Every 2-3 weeks""
""Almost every week""
""Several times each week""
""No basis to judge"""
Evaluations: TA Resource Use,SemesterYearEvals_TA_Use_Stats ,"How often the TA used statistics resources, such as explanations and templates for statistical tests","Factor
""Never""
""1-2 times""
""3-5 times""
""Every 2-3 weeks""
""Almost every week""
""Several times each week""
""No basis to judge"""
Evaluations: TA Resource Use,SemesterYearEvals_TA_Use_Sakai ,"How often the TA used the Sakai weekly guide, an online resource which covers what to do before, in, and after lab.","Factor
""Never""
""1-2 times""
""3-5 times""
""Every 2-3 weeks""
""Almost every week""
""Several times each week""
""No basis to judge"""
Evaluations: TA Resource Use,SemesterYearEvals_TA_Use_PreLab ,How often the TA explained how the Pre-lab assignments fit into the lab,"Factor
""Never""
""1-2 times""
""3-5 times""
""Every 2-3 weeks""
""Almost every week""
""Several times each week""
""No basis to judge"""
Evaluations: TA Resource Use,SemesterYearEvals_TA_Use_Gradebk ,How often the TA provided feedback through grades in a timely manner.,"Factor
""Never""
""1-2 times""
""3-5 times""
""Every 2-3 weeks""
""Almost every week""
""Several times each week""
""No basis to judge"""
Evaluations: TA Resource Use,SemesterYearEvals_TA_Use_Announcements ,How often the TA used announcements to share specific or last-minute lab changes or other news.,"Factor
""Never""
""1-2 times""
""3-5 times""
""Every 2-3 weeks""
""Almost every week""
""Several times each week""
""No basis to judge"""
Evaluations: Assignment and Resource Feedback,NOTE: Student feedback of assignments and resources,The assignment feedback group gives students an opportunity to provide feedback for the usefulness of various assignments and tools offered throughout the semester. The question is how well the assignments directly or indirectly helped the student master the information and skills for this course. ,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_PreLabQuiz ,How useful were the pre-lab assignments (usually online),"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_Articles,How useful were the 3-2-1 summaries of research articles,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_ClassDiscArticles ,How useful was reading and discussing articles as a class,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_Pitch ,How useful was the 1 minute pitch of experiments,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_StatusRpt ,How useful was the status report to the class on ongoing work,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_InformalPres ,How useful were the informal presentations,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_LabNotebks ,How useful was the keeping of lab notebooks,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_LabRptSub ,How useful were the first submissions of lab reports,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_LabReptRev ,How useful were the revised lab reports,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_FormalPres ,How useful were the formal presentations,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_ResourceGuidePrnt,How useful was the printed BioCore Resource Guide?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_ResourceGuideOnline ,How useful was the online version of the BioCore Resource Guide?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_ExpDesModel,How useful was having a standardized experimental design model to follow?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_ExpDesignPlans ,How useful was submitting experimental design plans online before started experiments?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_PrimLitGuidelines ,– How useful was having guidelines showing you how to approach reading primary literature?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_PeerRevDisc ,How useful was discussing your report with peers and the TA in a “peer review”?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_PeerRevProcess ,How useful was the process of reviewing your peers’ lab reports?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_PeerRevPeerComments ,How useful were the comments from your TA on your lab reports?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Assignment and Resource Feedback,SemesterYearEvals_Assnmt_SAWHETFdbk ,How useful were the comments from SAWHET’s automated feedback?,"Factor:
“Not applicable to my course”
‘Not Useful or Helpful at All”
“Less Useful Than Others”
“Very Useful or Valuable”
""Essential"""
Evaluations: Annotation Exercises,NOTE: Annotation exercises,"These responses record student feedback to annotation exercises, which involved text markup and some multiple choice responses about the structure of scientific writing. The responses are how effectively the annotation exercise helped students to several scientific writing related tasks.","Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Annotation Exercises,SemesterYearEvals_AnnotSciLang ,Annotation exercises helped to see differences in scientific and non-scientific language.,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Annotation Exercises,SemesterYearEvals_AnnotRead ,Annotation exercised helped to read a scientific paper,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Annotation Exercises,SemesterYearEvals_AnnotParts ,Annotation exercises helped to see what belonged in each part of a report.,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
